id,text,event_number,player_dummy,team_dummy,weekday,month,day,time,user_screen_name,positive
822,"""the big bang: was it the origin of everything? http://t.co/4kucy01785 at adelaide, australia #adelaide""",3,0,0,6,4,5,12:18,gethappenic,0
7340,"""disappointed for @jamiewhincup what a race he had #goholden #bathurst1000""",11,1,0,7,10,12,7:37,benmathews92,0
7092,"""gotta fell for @redbullracingau and @jamiewhincup #bathurst1000""",11,1,0,7,10,12,7:36,gcdan7,0
5103,"""classy, craig. real classy. #bathurst1000""",11,0,0,7,10,12,7:20,bunchinthecase,1
1393,"""entrenando desde temprano. comenzÃ© con abdoninales en mis intentos de levantarme de la cama #tas""",5,0,0,6,5,17,16:19,muyruda,0
4858,"""@v8supercars what can i say about the great #bathurst1000 other than what a race today #excitementoverload""",11,0,0,7,10,12,7:18,elvislover68,0
4205,"""and i think of all the times i've stalled the mazda! inconsequential!  #bathurst1000""",11,0,0,7,10,12,7:11,janetbackstage,0
10381,"""very sad to see svg stranded in the pits after a brilliant run at the mount @shanevg97 #unluckymate #bathurst1000 #v8sc""",11,1,0,7,10,12,8:53,niki2691,0
8720,"""love it - james moffatt calls the crowd ""a pack of lovely people"" - channeling jim richards 22 years ago #packofarseholes #bathurst1000""",11,0,0,7,10,12,7:48,bobandandysen,1
9568,"""rt @v8supercars: 2014 king of the mountain - chaz mostert and paul morris #v8sc #bathurst1000 http://t.co/xwrcjhmg0s""",11,0,0,7,10,12,8:03,samantha__mc,0
7475,"""greatest bathurst ever!!!  shame lowndes had to take out frosty. team got their right whack in end #bathurst1000""",11,0,0,7,10,12,7:38,hagsy29,0
8667,"""rt @timgossage: it's like the old days in perth when you just couldn't find a roster petrol station @jamiewhincup #bathurst1000""",11,1,0,7,10,12,7:47,pgker,0
804,"""code  pca1464
colour  blue
material  pu+ matte leather
size  l26 h33.5
idr  245.000

#tas #tasmurahâ€¦ http://t.co/obmnn4n6mf""",3,0,0,6,4,5,17:38,snowflakes_id,0
11792,"""#selfie #rollingstones #adelaide #southaustralia #livingthedream #livinglarge #corporatecutie #igersâ€¦ http://t.co/4wqse2et0i""",12,0,0,7,10,26,13:46,carodirusso,0
4001,"""@higgointhebush fuuuuck youâ€™d be dirty! #vangisbergen #bathurst1000""",11,0,0,7,10,12,7:09,becksullivanslp,0
4908,"""we've been at the business end of the #bathurst1000 for over an hour and the hits just keep coming... peeps, this race started 8 hours ago!""",11,0,0,7,10,12,7:19,bradatslice,0
7202,"""rt @v8supercars: top 10 - mostert, moffat, percat, w davison, whincup, winterbottom, t kelly, r kelly, coulthard and lowndes Â #bathurst1000â€¦""",11,0,0,7,10,12,7:37,strattonfinance,0
662,"""rt @v8supercars: the wreckage of car 8 @ijasonbright @teamboc  #v8sc http://t.co/18wb7bo3vk""",1,1,0,7,3,2,12:59,markuspira,0
8359,"""there are no words.... last to first is an incredible result. such a shame @will_davison &amp; @alexdavison79 just missed the podium too. #v8sc""",11,1,0,7,10,12,7:44,_emilystone,0
7416,"""third for percat and gavin gives walkinshaw racing something to smile about after a horror weekend #v8sc""",11,0,0,7,10,12,7:38,speedcafe,0
10736,"""rt @joe_hildebrand: shocker of a track today. i haven't seen that many holes since craig thomson tried to explain his credit card statementâ€¦""",11,0,0,7,10,12,9:26,pat_patpooley,0
7778,"""@melissadoyle @7sport best ending to the race that i've ever seen #bathurst1000""",11,0,0,7,10,12,7:39,jenleeren,1
879,"""#workflow #letsgetit #winston #winstonsalem http://t.co/5seaxe7dwi""",3,0,0,7,4,6,14:50,bert1800top,0
12031,"""rt @brenttoderian: building new housing above 1970's-ish parking structure in central #adelaide. i'm both impressed &amp; disturbed. http://t.câ€¦""",12,0,0,7,10,26,18:43,stanp_cancg,0
7830,"""rt @v8supercars: can whincup hear them? he's not responding? Â #bathurst1000 #v8sc""",11,0,0,7,10,12,7:40,f1translator,0
