id,text,event_number,player_dummy,team_dummy,weekday,month,day,time,user_screen_name
6081,"""what a great race! #bathurst1000 #whincup #mostert!""",11,0,0,7,10,12,7:31,robmc151
2187,"""event: saturday twilight ride 30th august. 5:00pm sharp: uni footbridge, down anzac highway to glene... http://t.co/0erz30y0do #adelaide""",9,0,0,7,8,24,15:58,adl_cyclists
12448,"""rt @vassy: 2 amazing shows in 1 day!! doin the @stereosonic rounds w/ @showtekmusic &amp; @sonnywilsonnl #melbourne &amp; #adelaide ðŸ‘ŠðŸ‘Š http://t.co/â€¦""",14,0,0,7,12,7,16:28,ganjajp
137,"""rt @sandraconaway: .#28f el descaro de #winston. en el 2007 hablando mal del gobierno. http://t.co/aqy1porjpc""",1,0,0,6,3,1,15:14,luisluis90079
5924,"""just go for it @jamiewhincup .... all or nothing. #bathurst1000""",11,1,0,7,10,12,7:30,rochykate
8533,"""rt @nissan_aus: incredible finish to #bathurst1000. nissan 2nd! unforgettable drive by @j_moffat in the nissan #altima http://t.co/mkj51zkuâ€¦""",11,1,0,7,10,12,7:45,guy_munro
10788,"""well that was an interesting weekend.... shot fpr!!!! #bathurst1000""",11,0,0,7,10,12,9:32,dontcallmehetty
11078,"""rt @v8supercars: [video] supercheap auto #bathurst1000 highlights. watch here: http://t.co/4suhsfzp8v http://t.co/bhj9dh3rzq""",11,0,0,7,10,12,10:21,welchyyyyy_
1634,"""jamie whincup blasts rivals at the skycity triple crown. #v8sc

read more: http:... http://t.co/wbxgzgvgkr""",6,0,0,7,6,22,14:00,sunny_days_
2678,"""destroying my lounge one nap at a time. hahaha!!! #winston #staffies #staffylife #aslongasheiscomfyâ€¦ http://t.co/xar0v4vfso""",11,0,0,6,10,11,12:17,nashyismyname
12307,"""furla charmaine 863-1# semi premium idr 380k
uk. 33x25cm

#tas #tasbranded #tasbrandedmurah #tasmurahâ€¦ http://t.co/lcptwnzcgb""",14,0,0,6,12,6,14:47,fameliabless
3670,"""winterbottom leads less keep this safety car out for the while for mark to conserve fuel and win! :) #v8sc""",11,0,0,7,10,12,7:07,pizzalord1988
7661,"""@v8supercars #bathurst1000. tras batallar casi 8h y 161 vueltas, obtuvo la victoria en los ultimos metros! sublime http://t.co/bgx5rrvmyb""",11,0,0,7,10,12,7:39,mazzucchelli_l
9952,"""rt @formulaoneworld: #mostert snatches #bathurst1000 victory from #whincup on the final lap http://t.co/e7jxy0rmgj http://t.co/wxknfljitc""",11,0,0,7,10,12,8:19,ktm450sx
1477,"""always delicious #terroni #gnocchi #gnocchiallasimi #adelaide #fresh #yummyinmytummy #girlsnightâ€¦ http://t.co/xmfcwkkuff""",5,0,0,7,5,18,15:51,foodiesheena
915,"""rt @veusnoticias: lo Ãšltimo: supuesto testigo de la ""agresiÃ³n"" a winston vallenilla lo cuenta todo
http://t.co/edmomslklz #winston #agresion""",3,0,0,7,4,6,16:03,corina_martinez
6669,"""that's the greatest #bathurst1000 i've ever seen. unbelievable race, incredibly finish @foxsportsnews""",11,0,0,7,10,12,7:35,markgottlieb
6907,"""rt @supercujo: well done mostert and morris. great win #bathurst1000 #v8sc #fb""",11,0,0,7,10,12,7:36,craig778saints
2494,"""rt @derekcwallace: i love #women saving the day as new #ghostbusters...but why can't it be the daughters of #egon, #winston etc.? vs christâ€¦""",11,0,0,5,10,10,15:29,spectersecurity
11379,"""aneka #fashion #tas #wedges dll, harga terjangkau &amp; kualitas ok, follow @ozan_olshop invite pin:265dbdb1 #trusted http://t.co/wgk7moebqo""",11,0,0,7,10,12,11:20,kalimantanpromo
486,"""australian shake 'n bake: watch this amazing video of the last lap of today's @v8supercars race at #adelaide . http://t.co/iqaq549npr""",2,0,0,7,3,2,16:51,motorsport
10530,"""unbelievable #bathurst1000 race! as good as any touring car circuit in the world, dtm included.""",11,0,0,7,10,12,9:06,rkmlarsen
10290,"""rt @v8supercars: mostert wins bathurst on final lap: from last to first in a race full of carnage, records broken, and a ... http://t.co/h4â€¦""",11,0,0,7,10,12,8:44,drew20pearson
8507,"""rt @heraldsunsport: mostert came from 25th on grid to win #bathurst1000""",11,0,0,7,10,12,7:45,srollinson1411
7346,"""rt @speedcafe: fpr can only hope that ford enjoys its back-to-back bathurst wins as the manufacturer mulls over its future in v8 supercars â€¦""",11,0,0,7,10,12,7:37,phalkn
5792,"""rrrr, damn it. that sucks, you had the pole @mwinterbottom @v8supercars #v8sc #bathurst1000""",11,1,0,7,10,12,7:29,matrcooke
9099,"""rt @pitlanewb: the fittest guy on the grid. hang on,  autocorrect. morris won. rt @camscorner: ps - who won #bathurst1000 ??""",11,0,0,7,10,12,7:53,dr_mikki
3251,"""karma 's a bitch ingall #bathurst1000""",11,0,0,7,10,12,7:03,netstar13
9705,"""@v8supercars there is only one king of the mountain, and mostert it isn't. #peterbrock #stephenbradburyfinish #lucky #bathurst1000""",11,0,0,7,10,12,8:08,features72
2585,"""si ven a mi amor diganle que la amo y que la extraÃ±o ...@glez_selene y que es mi todo #tas""",11,0,0,6,10,11,15:14,sombrasdivinas
6024,"""what a motor race. what. a. motor. race. absolutely insane #bathurst1000""",11,0,0,7,10,12,7:31,whitie007
10834,"""#fotorus #cunda #kapi #antika #eski #tarih #tas #duvar #allshotsphoto #allshotsturkey ðŸšª @ cunda adasi http://t.co/1uo0iz2yuh""",11,0,0,7,10,12,9:41,ranaakmese
7968,"""that was exhausting!!! #v8sc #bathurst1000""",11,0,0,7,10,12,7:41,melzee21
6141,"""in fact both whincup &amp; mostert done brilliantly concidering both drivers started at the back of the grid #v8sc""",11,0,0,7,10,12,7:32,joemafia86
7664,"""rt @robjamesf1: a kid who sweeps floors at a workshop &amp; a fat man who sells wine have just won the #bathurst1000. this is australia &amp; it's â€¦""",11,0,0,7,10,12,7:39,tibutler
11190,"""a message for ronsta atwell.
great race by all teams
#v8sc #bathurst1000 @v8supercars @fpr_australia @grmotorsport  http://t.co/pevjnxs9pf""",11,0,1,7,10,12,10:41,motorvatedtv
4275,"""&amp; yet another safety car...... #bathurst1000""",11,0,0,7,10,12,7:12,theentreprenew
5841,"""no petrol for wincup? wooooooooow #bathurst1000""",11,0,0,7,10,12,7:30,achh15
2817,"""in preparation for a monster motor sport weekend the projector has been brought back out #bathurst1000 #f1 #fiawec http://t.co/1ssnpoonmx""",11,0,0,7,10,12,14:04,stigsfatcousin
3442,"""this race omg..... #v8sc""",11,0,0,7,10,12,7:05,supercarsmaster
3427,"""won't start #bathurst1000""",11,0,0,7,10,12,7:05,redwombat101
4634,"""winterbottom now turned around on the exit of hell corner by lowndes. mostert through to second #v8sc""",11,0,0,7,10,12,7:17,speedcafe
11707,"""rt @trevorlong: someone send bernie a vhs of todayâ€™s #bathurst1000 - thatâ€™s motor-racing.  (i assume he only has vhs at home) #f1""",11,0,0,7,10,12,12:54,mainlinerob
4670,"""rt @v8supercars: someone's spun â€“Â lowndes turned winterbottom around. and svg is back out #bathurst1000 #v8sc""",11,0,0,7,10,12,7:17,roohan38
10699,"""rt @v8chosenone: check out that podium crowd! #v8sc #bathurst1000 http://t.co/xivowyvilk""",11,0,0,7,10,12,9:22,optimize_biz
2013,"""â€œ@reignedusin: icymi: this is a great interview by @rottentomatoes with #toby and #adelaide  at #sdcc http://t.co/mpj2xdwd5q #reignâ€ omg lol""",8,0,0,7,8,3,16:40,ashowerofsparks
7710,"""rt @iamdarrencox: 2nd at #bathurst1000 whhhooooooooohhhhhoooo great job @nissan_msport @nissan_aus #30yearsofmaverick unbelievable job afteâ€¦""",11,0,0,7,10,12,7:39,motoringcomau
11269,"""rt @wtf1couk: 1000 kilometre race at #bathurst1000 comes down to a dramatic final lap http://t.co/kr3d6fqoth #v8sc http://t.co/rpfj5yddit""",11,0,0,7,10,12,10:58,nigespy
5736,"""rt @v8supercars: whincup has gotten the message to conserve. he's 3sec ahead of mostert with  four to go #bathurst1000 #v8sc""",11,0,0,7,10,12,7:28,supercarxtra
6040,"""rt @v8supercars: 1.4sec gap to mostert â€“Â whincup's now responded. Â #bathurst1000 #v8sc""",11,0,0,7,10,12,7:31,fredsmith914
10453,"""rt @stevepizzati: take a bow @v8supercars - that's how you put on a show! brilliant! #v8sc #bathurst1000 #truedrama""",11,0,0,7,10,12,9:00,edam26
1173,"""#hypetour @justicecrew #adelaide""",4,0,0,6,4,26,13:32,ashtons_sxut
10105,"""snappytv - [video] three wide into griffins bend #bathurst1000 @v8supercars #v8sc http://t.co/baxjsl0ybk""",11,0,0,7,10,12,8:29,yamatsu
3087,"""146. beretta really wants to make it clear that they are staying on 7 for this. #bathurst1000 #v8sc #161laps161tweets""",11,0,0,7,10,12,7:00,mjmilg8
869,"""james courtney talks about the importance of being consistent in 2014 @jcourtney @holden_racing  #v8sc #youtube http://t.co/5qaouag1v5""",3,1,0,7,4,6,14:33,yamatsu
7798,"""if that didn't get your motor running there is no hope for you #bathurst1000 unbelievable!!!""",11,0,0,7,10,12,7:40,fraserdan11
7720,"""what a race! #bathurst1000 gutted for@shanevg97 but he will definetly win the great race one day. another  epic day on the mountain, awsome.""",11,1,0,7,10,12,7:39,lfcnyy
12278,"""such a beautiful train station #adelaide #shotonmylumia #1520 microsoftlumia @auswinphone http://t.co/ynbbe1g0hl""",14,0,0,6,12,6,13:46,wrentell
10551,"""congrats to @chazmozzie and paul morris...victory at #v8sc #bathurst1000! @pepsimaxcrew @fordracing http://t.co/u24jdzgh3f""",11,1,0,7,10,12,9:09,gegaard
11594,"""rt @erebusv8: news: erebus salvages fighting fourth at bathurst http://t.co/bjeqktvpdz  #bathurst1000 #v8sc http://t.co/f8yioazydu""",11,0,0,7,10,12,12:16,trevorjct
6122,"""right down to the wire omg! please ford #bathurst1000""",11,0,0,7,10,12,7:32,mytheffect
1482,"""typical saturday...#bkb #winston #toddlers #weimaraners http://t.co/39poyhrxyk""",5,0,0,7,5,18,16:13,timhicks_470
10205,"""rt @v8supercars: mostert wins bathurst on final lap: from last to first in a race full of carnage, records broken, and a ... http://t.co/h4â€¦""",11,0,0,7,10,12,8:36,etienne_dokkum
4500,"""whincup will not let winterbottom win. he'll pass, or they'll be off. #v8sc""",11,0,0,7,10,12,7:15,mattdwen
12265,"""one of our new troupe students, kaylie, closing the show with dynamic performance on the #lyra 
#tas... http://t.co/ld8jnh9eya""",13,0,0,7,11,16,17:20,theaerialstudio
1505,"""woohoo @v8supercars bought to you by speedtvaus #v8supercars #v8sc #perth #holdenvford #myfavedayâ€¦ http://t.co/ft9hr4x1i2""",5,0,0,7,5,18,13:47,blinky_xo
7452,"""bring it on #sydney500 53 days and counting!!! ping @sweetchampers""",11,0,0,7,10,12,7:38,ilove_mojitos
4587,"""bloody hell #bathurst1000 #maxattack""",11,0,0,7,10,12,7:16,endexjoey
